approach,Pre_ken,Del_ken,Pre_exp,Del_exp
rankingshapK@1,0.4046941351,0.6277084396,0.1236295036,0.06844210471
rankingshapK@3,0.6352416206,0.5191703601,0.09954714648,0.1110774797
rankingshapK@5,0.6954867619,0.3759529011,0.08663525029,0.1353472868
rankingshapK@7,0.7146781949,0.243125634,0.07806073217,0.1545839647
rankingshapK@10,0.7483476338,0.09580227155,0.07140514219,0.1734071052
rankingshapW@1,0.4495189451,0.6851209079,0.1181129582,0.06827380454
rankingshapW@3,0.6249568947,0.5413617539,0.08913503874,0.1161866019
rankingshapW@5,0.6757309853,0.4004418945,0.07407301616,0.1404426178
rankingshapW@7,0.6911193203,0.3068914028,0.06591086098,0.1569785394
rankingshapW@10,0.7208298086,0.201013981,0.06000016338,0.1714022953
greedy_iter@1,0.4678056976,0.7272274154,0.1197036706,0.0568415612
greedy_iter@3,0.6480851479,0.6129577927,0.08928053114,0.08907729032
greedy_iter@5,0.6998307282,0.5554411824,0.076172931,0.1017264825
greedy_iter@7,0.7220218984,0.5079789475,0.06899560187,0.1103735697
greedy_iter@10,0.7529812671,0.4503489904,0.06198437043,0.1213007838
pointwise_lime@1,0.3490232509,0.6761723117,0.1327246953,0.05952864076
pointwise_lime@3,0.5444993605,0.5633833071,0.1144254249,0.09490998658
pointwise_lime@5,0.5875794794,0.4582508875,0.1088193836,0.1094310209
pointwise_lime@7,0.6103062983,0.417104865,0.1031723657,0.1200203532
pointwise_lime@10,0.6368328668,0.3456211833,0.0997872592,0.1293652599
pointwise_shap@1,0.3875945554,0.7232604447,0.1363615469,0.05786861507
pointwise_shap@3,0.5632129313,0.5561447573,0.1123684495,0.09884329364
pointwise_shap@5,0.6149581073,0.4496533565,0.10173812,0.1196022304
pointwise_shap@7,0.6362404354,0.3442115551,0.09539861159,0.1343624897
pointwise_shap@10,0.6753601874,0.2133140621,0.08762262597,0.1522725258
random@1,0.01316684092,0.9369025467,0.1735908002,0.01687971785
random@3,0.1528586501,0.857067981,0.1626283823,0.03571022161
random@5,0.2031215669,0.8083309618,0.1543518302,0.05176865328
random@7,0.2702764339,0.7598518206,0.146145785,0.06197133409
random@10,0.3134586636,0.7171376303,0.139017856,0.07432773321
rankinglime@1,0.4009691398,0.6338766414,0.1238022348,0.06736415324
rankinglime@3,0.6115374282,0.5355448844,0.1036024922,0.10481452
rankinglime@5,0.6424827519,0.4260138428,0.09615894044,0.1229821239
rankinglime@7,0.6517662886,0.3344049349,0.09189522514,0.136327924
rankinglime@10,0.6712009455,0.23915064,0.08885217685,0.147405477
