approach,Pre_ken,Del_ken,Pre_exp,Del_exp
rankingshapK@1,0.330361,-0.761102,1.253023,-0.484823
rankingshapK@3,0.624013,-0.354798,0.802749,-1.17058
rankingshapK@5,0.66296,-0.282551,0.73016,-1.266408
rankingshapK@7,0.76605,-0.046085,0.535053,-1.55922
rankingshapK@10,0.813499,-0.035704,0.412822,-1.612395
rankingshapW@1,0.362853,-0.616798,1.183658,-0.789125
rankingshapW@3,0.656381,-0.230399,0.758973,-1.313911
rankingshapW@5,0.722096,-0.262615,0.600763,-1.334019
rankingshapW@7,0.855639,-0.065529,0.340906,-1.568766
rankingshapW@10,0.901075,-0.036854,0.23553,-1.616447
greedy_iter@1,0.564463,-0.460131,0.914325,-0.973105
greedy_iter@3,0.825844,-0.052353,0.399165,-1.585186
greedy_iter@5,0.867711,-0.070356,0.316084,-1.573341
greedy_iter@7,0.901075,-0.036854,0.23553,-1.616447
greedy_iter@10,0.901075,-0.036854,0.23553,-1.616447
greedy_iter_full@1,0.564463,-0.460131,0.914325,-0.973105
greedy_iter_full@3,0.790087,-0.082958,0.477812,-1.530844
greedy_iter_full@5,0.807822,-0.054686,0.433525,-1.600514
greedy_iter_full@7,0.810442,-0.070616,0.42746,-1.582135
greedy_iter_full@10,0.810442,-0.070616,0.42746,-1.582135
pointwise_lime@1,0.448742,-0.594787,1.089579,-0.803093
pointwise_lime@3,0.436495,-0.550474,1.106646,-0.842621
pointwise_lime@5,0.658405,-0.165646,0.773038,-1.412199
pointwise_lime@7,0.702946,-0.146857,0.642354,-1.465647
pointwise_lime@10,0.769617,-0.019873,0.51814,-1.595713
pointwise_shap@1,0.425408,-0.649264,1.105297,-0.72402
pointwise_shap@3,0.680423,-0.218392,0.68263,-1.350428
pointwise_shap@5,0.698184,-0.205642,0.656236,-1.36557
pointwise_shap@7,0.707898,-0.198654,0.622711,-1.388653
pointwise_shap@10,0.730587,-0.322879,0.564308,-1.267298
random@1,0.106866,-0.8748,1.469092,-0.334937
random@3,0.228302,-0.716652,1.341796,-0.588187
random@5,0.218977,-0.678155,1.330346,-0.678749
random@7,0.292648,-0.649961,1.233386,-0.752968
random@10,0.358002,-0.600609,1.14359,-0.849309
rankinglime@1,0.296002,-0.807263,1.266162,-0.397225
rankinglime@3,0.580723,-0.381274,0.896181,-1.114301
rankinglime@5,0.73183,-0.175122,0.586104,-1.437832
rankinglime@7,0.810442,-0.070616,0.42746,-1.582135
rankinglime@10,0.810442,-0.070616,0.42746,-1.582135
